hour,day_of_week,month,temperature,humidity,is_weekend,electricity_load
0,0,1,21.49,54.61,0,225.16
1,0,1,19.59,72.79,0,239.99
2,0,1,21.94,72.08,0,203.9
3,0,1,24.57,50.47,0,240.44
4,0,1,19.3,41.52,0,238.94
5,0,1,19.3,61.68,0,241.91
6,0,1,24.74,68.48,0,292.07
7,0,1,22.3,83.83,0,315.83
8,0,1,18.59,86.41,0,351.42
9,0,1,21.63,66.44,0,352.46
10,0,1,18.61,77.69,0,380.41
11,0,1,18.6,61.97,0,404.87
12,0,1,20.73,77.3,0,387.78
13,0,1,14.26,50.24,0,426.81
14,0,1,14.83,58.55,0,418.17
15,0,1,18.31,71.71,0,427.54
16,0,1,16.96,40.91,0,385.11
17,0,1,20.94,76.12,0,333.39
18,0,1,17.28,81.78,0,299.4
19,0,1,15.76,59.96,0,295.59
20,0,1,24.4,62.4,0,262.52
21,0,1,19.32,82.56,0,225.72
22,0,1,20.2,78.78,0,233.57
23,0,1,15.73,54.41,0,191.13
0,1,1,18.54,56.2,0,203.76
1,1,1,20.5,73.94,0,218.26
2,1,1,16.72,68.16,0,220.85
3,1,1,21.3,48.11,0,226.91
4,1,1,18.37,55.5,0,256.32
5,1,1,19.3,85.0,0,264.16
6,1,1,18.37,74.41,0,332.56
7,1,1,25.73,89.3,0,314.84
8,1,1,20.13,78.35,0,361.03
9,1,1,17.0,87.1,0,391.49
10,1,1,22.64,50.81,0,369.23
11,1,1,16.51,78.57,0,411.78
12,1,1,20.8,41.01,0,384.81
13,1,1,14.29,73.54,0,443.68
14,1,1,16.19,63.46,0,378.36
15,1,1,20.76,57.34,0,360.73
16,1,1,22.39,83.12,0,326.48
17,1,1,20.69,82.71,0,302.01
18,1,1,19.83,41.12,0,337.26
19,1,1,19.27,70.48,0,291.8
20,1,1,15.74,58.39,0,268.46
21,1,1,18.01,60.78,0,226.13
22,1,1,18.79,81.6,0,239.57
23,1,1,23.34,55.49,0,190.28
0,2,1,21.38,87.15,0,217.44
1,2,1,15.06,48.98,0,203.32
2,2,1,21.32,73.14,0,202.22
3,2,1,19.19,73.61,0,251.48
4,2,1,18.31,52.61,0,276.49
5,2,1,22.18,56.24,0,286.52
6,2,1,23.44,81.74,0,282.6
7,2,1,23.14,78.09,0,319.79
8,2,1,17.83,56.45,0,363.57
9,2,1,19.42,66.7,0,360.18
10,2,1,21.34,43.08,0,415.68
11,2,1,23.27,50.44,0,351.73
12,2,1,18.91,64.29,0,392.16
13,2,1,19.79,44.3,0,391.93
14,2,1,17.03,82.17,0,342.16
15,2,1,16.76,75.9,0,355.9
16,2,1,22.78,87.18,0,364.46
17,2,1,24.41,74.67,0,332.52
18,2,1,20.13,87.02,0,336.14
19,2,1,23.35,67.73,0,308.41
20,2,1,21.43,70.01,0,260.09
21,2,1,18.41,88.85,0,244.53
22,2,1,21.43,72.11,0,216.15
23,2,1,24.96,41.54,0,157.7
0,3,1,20.41,76.19,0,176.09
1,3,1,25.21,85.27,0,213.45
2,3,1,12.66,79.78,0,249.08
3,3,1,22.98,69.19,0,237.54
4,3,1,20.78,73.57,0,235.21
5,3,1,19.62,89.51,0,298.82
6,3,1,20.79,44.53,0,332.67
7,3,1,14.55,73.36,0,363.26
8,3,1,19.86,54.17,0,375.15
9,3,1,21.59,72.0,0,360.56
10,3,1,24.95,70.38,0,415.5
11,3,1,18.96,47.67,0,407.1
12,3,1,18.09,50.34,0,420.0
13,3,1,19.01,71.08,0,411.37
14,3,1,23.26,46.41,0,387.33
15,3,1,21.5,53.26,0,354.75
16,3,1,,81.76,0,356.04
17,3,1,22.06,56.35,0,345.76
18,3,1,20.81,64.4,0,294.15
19,3,1,23.42,87.06,0,295.54
20,3,1,18.41,51.36,0,273.72
21,3,1,19.53,59.48,0,229.48
22,3,1,19.34,70.32,0,247.82
23,3,1,16.13,77.77,0,210.98
0,4,1,21.58,85.08,0,231.25
1,4,1,21.47,85.77,0,213.41
2,4,1,20.7,78.83,0,216.32
3,4,1,19.98,51.42,0,216.57
4,4,1,16.44,41.24,0,262.13
5,4,1,19.43,59.19,0,276.48
6,4,1,19.66,47.08,0,280.68
7,4,1,18.28,75.52,0,330.83
8,4,1,20.2,73.06,0,338.41
9,4,1,21.9,42.2,0,382.68
10,4,1,26.35,81.83,0,423.59
11,4,1,21.21,52.44,0,374.02
12,4,1,21.46,61.61,0,435.59
13,4,1,20.46,73.4,0,397.86
14,4,1,14.93,61.47,0,384.77
15,4,1,20.61,62.06,0,389.34
16,4,1,20.87,43.28,0,343.9
17,4,1,28.08,60.07,0,339.44
18,4,1,20.11,78.24,0,296.64
19,4,1,21.59,85.76,0,258.8
20,4,1,20.58,60.67,0,268.02
21,4,1,17.18,61.18,0,235.61
22,4,1,24.12,75.13,0,189.96
23,4,1,22.94,87.14,0,216.79
0,5,1,23.23,53.35,1,148.97
1,5,1,18.13,62.01,1,160.01
2,5,1,25.07,79.8,1,214.92
3,5,1,16.65,70.48,1,188.73
4,5,1,22.62,45.53,1,175.22
5,5,1,27.43,71.39,1,270.15
6,5,1,17.89,49.34,1,274.2
7,5,1,19.16,65.51,1,298.63
8,5,1,21.16,66.46,1,315.81
9,5,1,19.35,83.81,1,351.97
